canonical,variants,category,notes
mee kicap," mee kicap|soy sauce noodles",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
laksa johor," laksa johor|Johor laksa",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
curry mee," curry mee|curry noodles|curry laksa|coconut curry noodles|Curry me|kari mi|kari mee|meekari|mee kari|mi kari|英姐咖喱面|咖喱面",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
pisang lemak," pisang lemak|banana fritters",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
yong tau foo," tauhu sumbat|stuffed tofu|stuffed bean curd|stuffed tau foo|stuffed tofu|ytf|yong tau fu|yong tau fo|ytf|Yong Taufu|yong tau hu|yong chap|Yong taufoo",snack,Light snack or savoury item commonly enjoyed as street food or side dish.
chicken rendang," ayam rendang|chicken rendang|rendang ji",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
mee tarik," mee tarik|pulled noodles",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
roti jala," roti jala|net bread|lace pancake|lace crepe",bread,"Flatbread or baked item, usually served with curry or as a snack in Mamak stalls."
teh o ais," teh o ais|iced black tea",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
kopi c," kopi c|coffee with evaporated milk",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
nasi kerabu," nasi kerabu|blue rice",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
mee bandung johor," mee bandung johor|Johor Bandung noodles",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
laksa kedah," laksa kedah|Kedah laksa",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
fried banana," pisang emas|golden banana|fried pisang|pisang goreng madu|honey fried banana|pisang goreng|gorend pisang",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
tau fu pok,fried tofu puff|tofu pok|to fu pok|tofu puff|tau pok|taufu pok,other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ikan bakar sambal," ikan bakar sambal|grilled fish with chili paste",snack,Light snack or savoury item commonly enjoyed as street food or side dish.
curry chicken,chicken curry|kari ayam|curry ji|kari|ji,other,Traditional Malaysian or Asian food item commonly found in hawker centres.
pan mee," mee hoon kueh|hand-pulled noodles|banmian|pan mee thick|pan mee thin|mee hoon kuey|pan mee soup|pan mee dry|dry pan mee|soup pan mee",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
roti bom," roti bom|bomb bread",bread,"Flatbread or baked item, usually served with curry or as a snack in Mamak stalls."
teh tarik ais," teh tarik ais|iced pulled tea ",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
kopi o ais," kopi o ais|iced black coffee",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
nasi minyak," nasi minyak|fragrant rice|ghee rice|butter rice|oil rice",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
squid noodles," mee sotong|noodles squid",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
laksa terengganu," laksa terengganu|Terengganu laksa",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
fried banana with cheese," pisang goreng cheese|fried cheese banana",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
fried tofu," tauhu goreng|fried to fu|fried taufu|fried tau fu",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ikan masak tiga rasa," ikan masak tiga rasa|fish in three-flavor sauce",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
ayam penyet," ayam penyet|smashed fried chicken",other,Traditional Malaysian or Asian food item commonly found in hawker centres.
mee jawa," mee jawa|Javanese noodles",noodle,Noodle-based dish commonly served in Malaysian or Singaporean hawker centres.
roti tisu," roti tisu|tissue bread|tisu roti|helicopter roti|roti helicopter|rocket roti|roti rocket",bread,"Flatbread or baked item, usually served with curry or as a snack in Mamak stalls."
teh o limau," teh o limau|lemon black tea",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
kopi o limau," kopi o limau|lemon black coffee",beverage,Popular beverage typically available in hawker stalls and kopitiams across Malaysia.
nasi briyani," nasi briyani|biryani rice|nasi biyani",rice,"Rice-based dish popular in Malaysian cuisine, often served with side dishes or curries."
prawn mee,har mee|hamee|hokkien prawn mee|prawn noodle soup|prawn noodle|prawn noodles|har mi|prawn mi|prawn mi soup|Penang Prawn Mee|harmen|har men,noodle,Spicy prawn and pork-bone broth with yellow noodles and bee hoon.
mee soto,mi soto|soto ayam noodles,noodle,Spiced chicken broth with yellow noodles or bee hoon.
kolo mee,kolok mee|mee kolok|dry tossed noodles|mee kolo,noodle,"Springy noodles tossed with lard/oil, minced pork, and char siew."
yee mee,yee fu mee|yifu noodles|yi mein|e-fu noodles|longevity noodles|ee-fu noodles|e fu mee|Yee mee,noodle,Crispy or braised egg noodles served in gravy or soup.
lor mee,loh mee|braised noodles|thick gravy noodles,noodle,"Thick starchy gravy with yellow noodles, vinegar, and garlic."
fried rice vermicelli,fried bee hoon|char bee hoon|char mee hoon|char mi hoon|fried mee hoon|fried bihun|fried mifen,noodle,"Stir-fried rice vermicelli with soy, egg, and vegetables."
maggi goreng,maggi mee goreng|fried instant noodles|noodles fried,noodle,Mamak-style fried instant noodles with egg and vegetables.
wonton noodles,wtm|wantan mee|wonton mee|wantan mein|wanton mee|wantan noodles|wanton moodles|wanton mien|wonton mien|豐楊云吞面|wanton|wantanmee|wan tan mee|watanmee|wan ta mee|wan tan noodles|watanme|wan tan noodle|Wan Tan Noodlehai|wan than mee,noodle,"Egg noodles with char siew and wantons, served dry or in soup."
kway teow soup,koay teow soup|kuay teow soup|kway tiew soup|kew tiew soup|kue tiau soup|koay teow teng|kuay teow teng|kway teow teng|kew tiew teng|kue tiau teng|koay teow th'ng|kuay teow th'ng|kway teow th'ng|kew tiew th'ng|kue tiau th'ng,noodle,Clear broth flat-rice-noodle soup with fish balls or pork.
silver needle noodles,lao shu fen|lou syu fan|lao cu pan|loh see fun|lou shu fun|rat tail noodle|ice pin noodle|short rice noodle|lor shu fen|lao shu fen|rat noodle|lou shu fan,noodle,"Short, tapered rice noodles resembling silver needles, usually stir-fried or served in claypot dishes with minced pork, soy sauce, and raw egg."
claypot silver needle noodles,claypot lao shu fen|claypot lou syu fan|claypot lao cu pan|claypot loh see fun|claypot lou shu fun|claypot rat tail noodle|claypot ice pin noodle|claypot short rice noodle|claypot lor shu fen|claypot lao shu fen|claypot rat noodle|lao shu fen claypot|lou syu fan claypot|lao cu pan claypot|loh see fun claypot|lou shu fun claypot|rat tail noodle claypot|ice pin noodle claypot|short rice noodle claypot|lor shu fen claypot|lao shu fen claypot|rat noodle claypot|clay pot lao shu fen|clay pot lou syu fan|clay pot lao cu pan|clay pot loh see fun|clay pot lou shu fun|clay pot rat tail noodle|clay pot ice pin noodle|clay pot short rice noodle|clay pot lor shu fen|clay pot lao shu fen|clay pot rat noodle,noodle,Short rice noodles in claypot with minced pork and raw egg.
fishball noodles,fish ball noodle|yu dan mian,noodle,"Noodles with fish balls, served dry or in clear soup."
hor fun,sar hor fun|ipoh kuey teow soup|ho fun|ho fen|sha ho fen|sa hor fen|sha hor fen|hofen|hofun|hor fun|horfun,noodle,Flat rice noodles in prawn-chicken broth with shredded chicken and prawns.
hainanese chicken rice,chicken rice hainan|nasi ayam hainan|hainan chicken rice|hainan nasi ayam|hainanese nasi ayam,rice,Poached or roasted chicken with fragrant rice and chili-ginger sauce.
duck rice,roast duck rice|nasi itik|nasi duck|roasted duck rice|duck nasi|itik nasi,rice,Roast duck served with rice and dark gravy.
char siew rice,bbq pork rice|nasi char siew|char siu rice|char siu fan|char siew fan|char siew nasi|char siu nasi|bbq pork rice,rice,Barbecued pork slices over rice with sweet sauce.
nasi kukus,steamed rice packet|nasi kukus ayam,rice,Individually steamed rice with spicy fried chicken and gravy.
nasi padang,padang rice|minang rice,rice,Rice with assorted West Sumatran curries and dishes.
claypot chicken rice,clay pot chicken rice|nasi periuk tanah|clay pot rice| claypot rice|bao zai fan|claypot ji fan| claypot fan,rice,"Claypot-cooked rice with chicken, lap cheong, and soy sauce."
economy rice,mixed rice|chap fan|caifan|cai fan|zha cai fan|zhap cai fan|chap chou fan|zai per,rice,Self-serve rice with a selection of cooked dishes.
yangzhou fried rice,yang zhou chao fan|chinese fried rice|chinese chao fan,rice,"Egg fried rice with char siew, prawns, and peas."
kampung fried rice,kampung fried rice|nasi goreng ikan bilis|nasi goreng kampung|fried rice kampung,rice,Village-style fried rice with anchovies and sambal.
pattaya fried rice,nasi pattaya|nasi goreng pattaya|pattaya nasi goreng|pataya fried rice,rice,Fried rice wrapped in a thin omelette with sauce.
otak-otak,otah|otah-otah|otak2|spiced grilled fish custard|steamed fish custard,snack,Grilled spiced fish paste in banana or coconut leaf.
keropok lekor,lekor|fish sausage|fish sticks|fish crackers|keropok|fried fish stick|fried fish crackers,snack,Deep-fried fish snack made from surimi and sago.
popiah,fresh spring roll|fried popiah|spring roll|popia|pohpiah|pok piah|popish|Poh Piah|poppia,snack,"Fresh or fried spring rolls with jicama, egg, and sauces."
roti john,rotijohn|john roti,snack,"Toasted baguette with egg, minced meat, and sauces."
murtabak,murtabok|martabak,snack,Pan-fried stuffed roti with minced meat and egg.
bak chor mee,minced pork noodles|bak chor noodles,noodle,"Springy noodles with minced pork, vinegar, and lard (dry or soup)."
mutton soup,mutton sup|kambing soup|sup kambing,snack,Spiced mutton soup with herbs and fried shallots.
tom yum,tom yam|tom yum nam khon|tom yum goong,soup,"Hot-sour Thai soup with lemongrass, lime, and chilies."
bubur cha cha,bo bo cha cha|bubur chacha|bubur caca,dessert,"Coconut-milk dessert with yams, sweet potato, and sago."
black glutinous rice,black glutinous rice dessert|bubur pulut hitam|pulut hitam,dessert,Sweet black glutinous rice porridge with coconut milk.
onde-onde,ondeh-ondeh|klepon|onde2|ondeh2,dessert,Glutinous rice balls with palm sugar filling coated in coconut.
apam balik,ban chang kueh|min jiang kueh,dessert,Folded peanut pancake with sugar and butter.
putu mayam,idiyappam|string hoppers,dessert,Rice-flour noodles served with grated coconut and sugar.
putu piring,kueh tutu,dessert,Steamed rice cakes filled with palm sugar.
coffee,kopi o|kopi ais|kopi si|kopi c|kopi kaw|kopi,beverage,Kopitiam-style coffee with local roast and condensed or evaporated milk.
iced milo,ice milo|milo dinosaur|milo ais|milo ais,beverage,Chocolate malt drink served cold; 'dinosaur' has extra powder on top.
herbal tea,loh han guo drink|winter melon drink|air mata kucing|monk fruit tea|清补凉|liong sui|longan drink|ching poh leong,beverage,Herbal longan and luo han guo drink served iced.
sugarcane juice,tebu ais|air tebu|tebu|sugarcane ice|juice sugarcane|sugarcane jus|jus tebu|tebu jus,beverage,Fresh-pressed sugarcane juice served with ice.
barley drink,barley ais|lime barley|barley lemon|barley hot|barley|ice barley|barley warm|barley ice|iced barley|ginko barley,beverage,Boiled barley water sometimes served with lime.
bandung,sirap bandung|rose syrup milk,beverage,"Rose-syrup milk drink, vibrant pink and sweet."
cham,yinyong|coffee tea mix,beverage,Blend of coffee and tea popular in kopitiams.
ramen,shoyu ramen|tonkotsu ramen|miso ramen|dry ramen,noodle,Japanese wheat noodles in various broths with toppings.
udon,kitsune udon|tempura udon|fried udon|yaki udon|udon soup,noodle,Thick wheat noodles served hot or cold.
pho,pho bo|pho ga,noodle,Vietnamese rice noodle soup with aromatic herbs.
banh mi,vietnamese baguette|banh mi thit,snack,"Crispy baguette sandwich with pickles, herbs, and meats."
sushi,maki|nigiri|sashimi,snack,Vinegared rice with seafood and other toppings.
pad thai,phad thai | pad tai | phad tai,noodle,"Stir-fried rice noodles with tamarind, egg, and peanuts."
rice wine chicken bun,黄酒鸡包|yellow wine chicken bun|huang jiu curry chicken bao|huangjiu chicken bun|yellow wine chicken bao|yellow wine chicken paos|yellow wine chicken pao|yellow wine pao|yelo wine chicken bun|rice wine chicken pao|steamed wine chicken buns|yellow wine chicken pau|wine chicken paus,,
duck bun,鸭脚包,,
ABC,ice kacang|ais kacang|red bean shaved ice|shaved red bean ice｜杂雪|best mix fruit ice kacang|air batu campur|azuki ice|ice-kachang|ice kajang|abc|fruit abc|ais kachang,dessert,"Shaved ice dessert with red beans, sweet corn, grass jelly, and syrup."
cuttlefish kangkung," 鱿鱼蕹菜|sotong kangkung|kangkung cuttlefish|you yu wong choy|eng chye spinach with cuttlefish|cuttle fish with bayam veg|cuttlefish with spinach",,
fried pork intestine porridge,炸肠州｜炸肠粥|mixed inard porridge|intestine congee,,
beef brisket noodles,牛腩面|beef noodle soup|braised beef brisket noodles|niu nan mian,,
fried rice cake,fried nian gao|rice cake goreng|炸年糕|fried niangao|fried gold cake|fried gold brick nian gao|fried nin gao|Triple nin gao|single nin gao|nian gao|fried nin ko|fried ning gao,,
fried dough stick,fried youtiao｜fried breadstick|fried chinese doughnut|yau char kwai|yu char kwa|chinese fried dough|youtiao|you tiao|fried chinese dough|fried bread twists|you cha kueh|hum chim peng|chinese doughnuts,,
pasembur,indian rojak|rojak indian|rujak indian|rojok india|rojak indi|indi rojak|Pasembur|rojak pasembur|Malaysian Indian Salad|pasemboq|disco|pasembur disco,,
prawn cracker,shrimp chips|xia bing|udang keropok|keropok udang|fried prawn cracker|har piang|har peng,,
shredded chicken hor fun,chicken hor fun|gai si hor fun|kai see hor fun|gai see hor fun|Kai See hor fun,,
claypot coffee,wa bao ka fei|wabao coffee|wa bao kopi|claypot kopi|claypot ka fei,,
hainan coffee,Hainan Coffee|hainan kopi|hai nan kopi|hai nan coffee|hainam coffee,,
kuih,Nyonya kuih|nyonya kuih|kueh,,
fried oyster egg omelette,oyster egg omelette|oyster omelette|fried oyster with egg,,
hainan tea,hainan teh|the hainan|Hainanese Teh|Hainanese Tea|hainanese tea|hainanese the|Hainan Tea|hai nan tea|hai nan the|hannan tea,,
toasted bread,roti bakar,,
skewers,boiled skewers|luk luk|fried skewers|deep fried skewers|deep-fried skewers|steamboat skewers|lok lok,,
lime drink,limau ice|limau panas|lime jus|lime juz,,
cockles,kerang|cockle|cockerells|cockerels|siham|si ham,,
rice vermicelli,bee hoon|beehoon|meehoon|mi hoon|mi  hoon|bihun|mifen|bi hun|mi fen|mee hoon|rice noodles|mai fun|mei fun,,
grilled squid,sotong bakar,,
clam soup,lala soup|la la soup|lala bihun|lala mee hoon|lala mifen|lala mi fen|lala noodles|lala rice vermicelli soup|mehun with clams|lah lah mihun,,
apam balik,Apom pancake|apom pancake|peanut pancake|apom kuih|man jiang kueh|man jian kuih|ban jian kuih|apom balik|apom pancakes|kue apom,,
red bean pudding cake,but zai guo|but zai gou|boot jai go|bot zai go|put chai ko|boot zai goh|boot jai go|steamed red bean sticky pudding|steamed rice cup cake with red beans|steamed rice cup cake|rice cup cake|but chai koh,,
mixed fruits dessert,mixed fruit shaved ice|fruit shaved ice|mixed fruit ice|mixed fruits ice|杂果冰|fruity shaved ice|ais buah|ais jelly|mix fruit ABC|shaven ice with mixed fruits|fruits ais|fruit ice|mix fruit ice dessert|mixed fruits shaved ice,,
dessert,tong sui|tong shui|desert,,
" glass noodles",dong fen|mung bean noodles|mung bean vermicelli|green bean thread|greed bean vermicelli|cellophane noodles,,
seafood omelette,Seafood omelet|seafood pancake|pancake seafood,,
char kway,cha kueh,,
singapore noodles,singapore-style mihun|singapore mihun|singapore beehoon|singapore mee hoon|singapore rice noodles,,
aiyu jelly,ais jelly|ai yu bing|aiyu bing|ice aiyu|ice ai yu|ice jelly|jelly ice|jelly aiyu|ais lemon jelly,,
wonton dumpling,watan dumpling 
char siew bun,char siew pau
meat rice dumpling,bak chang|zongzi|zhong zi|zongzi|zhongzi|chinese rice dumpling|bachang
yogurt,yougot
steam egg custard,dunn tart|dunn tan|dun tan
beancurd skin,bean curd Sink
bbq dried meat,bakkaw|bak kwa
